id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.710,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,0.00000099,-0.00001579,-0.00001008,0.004696959812148889,-0.8518930353430763,-0.00000008687861155555555,-0.000000032724923,Tau,,Phe,1,88,,149.69248567600363,,,
107,107,224865,9082,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.530,-0.576,M2III,1.615,106.198875,0.618768,-128.089244,0.00000785,0.00000597,0.00000388,0.005826258371586336,-0.87855289975953,0.00000003558532415277778,0.000000051341768,,,Phe,1,107,,148.04713248976265,,,
122,122,224889,9084,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.780,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-0.00005004,-0.00001859,-0.00003671,0.0069680833539428125,-1.3450506304308112,-0.00000027401669224999995,-0.000000857877807,The,,Oct,1,122,,47.293341491865164,,,
124,124,224893,9085,,,,0.026949,61.222801,943.3962,-2.80,-1.34,-23.0,5.580,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-0.00000586,-0.00001285,-0.00002357,0.007055293220648263,1.0685394491555988,-0.000000013574783055555555,-0.000000006496503,,,Cas,1,124,,4541.507126325551,,,
145,145,224926,9087,,29    Psc,,0.030402,-3.027504,139.2758,18.90,-10.25,23.0,5.130,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,0.00002302,0.00001294,-0.00000815,0.007959311760624218,-0.052839908817267495,0.000000091629785625,-0.000000049693402,,29,Psc,1,145,,149.830421062266,,,
154,154,224935,9089,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.370,-1.240,M3III,1.631,131.716394,1.126662,-13.877167,-0.00001524,0.00002980,-0.00002510,0.008553478676206407,-0.104965358843855,0.00000022602013787499997,-0.000000200325012,,30,Psc,1,154,,272.89777828080406,YY,4.418,4.308
171,171,224930,9088,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.800,5.374,G3V,0.690,10.834733,0.102555,5.540428,-0.00000999,0.00004584,-0.00006577,0.00946108171981008,0.47267453579784746,0.0000037747108354375,-0.000004454080246,,85,Peg,1,171,Gl 914,0.6171631684555837,,,
183,183,224990,9091,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.00,8.6,5.040,-0.899,B4V,-0.150,133.807455,1.361580,-76.389577,0.00001275,0.00000735,0.00000472,0.01017525278876349,-0.5187190791032438,0.00000004683300154166666,0.000000067873915,Zet,,Scl,1,183,,199.34254564980927,,,
194,194,225003,9093,,32    Psc,,0.041584,8.485463,36.9004,-93.55,-47.50,10.0,5.700,2.865,F0V,0.315,36.494389,0.397318,5.444980,0.00001155,-0.00001661,-0.00000689,0.010886699497016102,0.1480992689931425,-0.00000045354319815972223,-0.000000230286498,,32,Psc,1,194,,6.223002851691592,,,
208,207,225009,9094,,,,0.043357,66.098966,100000.0000,3.32,1.14,-18.0,5.870,-14.130,G8III,1.073,40513.198308,459.883590,91424.664275,-0.00053094,0.00160352,0.00020708,0.0113507568383742,1.1536445903601564,0.000000016095814194444444,0.000000005526875,,,Cas,1,208,,39084089.57924025,,6.002,5.812
300,301,225132,9098,,2    Cet,,0.062330,-17.335988,83.4725,28.57,-7.28,-5.0,4.550,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,-0.00000595,0.00001147,-0.00000129,0.01631802797359968,-0.30257006382630625,0.00000013851126853472225,-0.000000035294435,,2,Cet,1,300,,91.87556016660622,,,
330,330,225180,9100,,9    Cas,,0.070462,62.287664,100000.0000,-0.99,-0.37,-18.0,5.900,-14.100,A1III,0.274,46495.354900,857.790357,88529.351835,0.00015906,-0.00047707,-0.00009971,0.018446903003014922,1.0871248133041624,-0.0000000047996554375,-0.00000000179381,,9,Cas,1,330,,38018939.632056125,,,
343,343,225197,9101,,,,0.072165,-16.529036,90.6618,53.77,-60.27,-27.0,5.780,0.993,K0III,1.084,86.899520,1.641967,-25.793323,-0.00003445,0.00002299,-0.00001754,0.018892655987765305,-0.2884861027255437,0.0000002606843160347223,-0.000000292197205,,,Cet,1,343,,34.89795674378744,,,
355,355,225212,9103,,3    Cet,,0.075033,-10.509523,641.0256,-6.49,-11.88,-42.0,4.990,-4.044,K3Ibvar,1.619,630.150175,12.379991,-116.922329,-0.00004856,-0.00002113,-0.00002846,0.019643574686431155,-0.18342578396381876,-0.000000031464407868055554,-0.000000057595865,,3,Cet,1,355,,3610.771451003532,,,
377,377,225253,9108,,,,0.078131,-71.436891,175.4386,30.00,-13.62,-3.0,5.590,-0.631,B8III,-0.100,55.839008,1.142475,-166.311133,-0.00001248,0.00002526,-0.00000078,0.020454582635911458,-1.246808961776701,0.00000014544410416666667,-0.000000066031623,,,Tuc,1,377,,155.73993890808558,,,
379,379,225216,9104,,,,0.078304,67.166445,92.6784,95.58,23.80,-27.0,5.680,0.845,K1III,1.051,35.956698,0.737440,85.415532,-0.00002145,0.00004251,-0.00002130,0.02049985461801391,1.1722756186244814,0.00000046338491587499996,0.000000115385655,,,Cep,1,379,,39.99447497610976,,,
